Designator,Mid X,Mid Y,Layer,Rotation
C1,155.00,-130.00,T,90.00
C2,148.00,-127.80,T,90.00
C3,139.00,-127.00,T,180.00
C4,138.80,-130.40,T,180.00
C5,143.18,-130.30,T,0.00
D1,165.00,-113.00,T,0.00
D2,165.00,-101.40,T,180.00
D3,165.00,-120.00,T,0.00
J1,165.00,-133.00,T,0.00
J2,171.92,-101.00,T,90.00
J3,175.00,-107.00,T,270.00
J4,171.92,-128.52,T,90.00
J5,165.68,-94.20,T,180.00
J6,144.30,-92.20,T,90.00
R1,156.00,-97.00,T,180.00
R2,156.00,-100.00,T,180.00
R3,151.00,-127.80,T,270.00
R4,157.00,-134.30,T,270.00
R5,143.07,-126.90,T,180.00
SW1,141.00,-136.00,T,180.00
SW2,141.00,-98.00,T,0.00
U1,149.70,-135.00,T,270.00
U2,161.00,-107.00,T,90.00
U3,166.00,-107.00,T,90.00
U4,145.13,-114.90,T,180.00
